canonical_form,work,etymology,wordplay_note,brief,significance
Rick Deckard,Do Androids Dream of Electric Sheep?,"""Deck of cards"" / echoes Descartes",Descartes doubted reality; Deckard doubts who is human,Bounty hunter tasked with retiring six Nexus-6 androids on a depopulated Earth,Embodies PKD's central question: what constitutes authentic humanity?
Iran Deckard,Do Androids Dream of Electric Sheep?,Named for the country Iran,Distant and exotic — foreignness within domesticity,Rick Deckard's wife who relies on a Penfield mood organ to regulate her emotions,Represents mediated affect and the artificiality of suburban emotional life
Rachael Rosen,Do Androids Dream of Electric Sheep?,Hebrew: ewe or lamb,Biblical Rachel the beloved; a lamb among wolves (androids),Nexus-6 android who believes she is human and seduces Deckard to protect other androids,The android who most blurs the line between human and machine empathy
Isidore (J.R.),Do Androids Dream of Electric Sheep?,"Saint Isidore of Seville, patron of the internet/knowledge",Chickenhead = degraded intellect; Isidore = keeper of knowledge,Radiation-damaged special (chickenhead) who shelters fugitive androids out of compassion,His empathy surpasses the humans who hunt androids — the least capable is the most human
Pris Stratton,Do Androids Dream of Electric Sheep?,Pris = prismatic / prissy,"Stratton = stratified, layered identity",Basic pleasure-model android who hides with Isidore,Her friendship with Isidore tests whether empathy can cross the human-android divide
Roy Baty,Do Androids Dream of Electric Sheep?,Roy = king; Baty echoes batty (mad),King of the mad — leads rebel androids,Leader of the fugitive android group who has killed humans to survive,Represents the android's existential rage against a brief and predetermined lifespan
Wilbur Mercer,Do Androids Dream of Electric Sheep?,Mercer = mercy / merciful,Wilbur = will-fortress; Mercer = giver of mercy,Messianic figure experienced through empathy boxes who endlessly climbs a hill while being stoned,The collective empathy figure — even if a fraud he generates real compassion
Buster Friendly,Do Androids Dream of Electric Sheep?,Buster = breaker; Friendly = ironic facade,His friendliness is artificial — he is an android himself,TV and radio host who broadcasts 23 hours a day and exposes Mercer as a hoax,Media as destroyer of shared meaning — the friendly face of nihilism
Phil Resch,Do Androids Dream of Electric Sheep?,Resch = German for quick/brisk,A bounty hunter who may himself be an android,Ruthless bounty hunter who enjoys killing androids and disturbs Deckard with his coldness,If a human can lack empathy more than an android the categories collapse
Luba Luft,Do Androids Dream of Electric Sheep?,Luft = German for air,Luba = love; she sings of love while made of circuits,Android opera singer whose artistic passion makes Deckard question retiring her,Art and beauty as markers of the soul — can a machine create genuine art?
Joe Chip,Ubik,Chip = microchip / small piece,An everyman reduced to a chip of a person — impoverished and diminished,Technician and protagonist who discovers he may be in half-life after a bomb explosion,The little man struggling against entropy and corporate control of reality
Glen Runciter,Ubik,Runciter echoes runcible (nonsensical),A boss whose messages intrude from the land of the living into half-life,Head of Runciter Associates whose death/survival is ambiguous throughout the novel,Authority figure whose reality status is perpetually uncertain
Ella Runciter,Ubik,,Wife preserved in half-life cold-pac whose signal weakens as Jory consumes her,Glen's deceased wife maintained in cryonic half-life for consultation,The fading signal of the beloved — love persisting across the threshold of death
Jory Miller,Ubik,Jory = farmer / earthworker,A juvenile demiurge feeding on the dead,Malevolent half-life entity who constructs false realities and consumes other half-lifers,The demiurge as adolescent tyrant — PKD's gnostic theme of a petty creator-god
Pat Conley,Ubik,Conley = hero / valor; Pat = noble,Her power to change the past is a con — she is Jory's agent,Anti-psi with the ability to alter the past who secretly serves the demiurge Jory,Reality manipulation as spiritual corruption
Al Hammond,Ubik,,One of Runciter's inertials killed in the explosion,Technician at Runciter Associates who dies in the Luxembourg blast,Part of the ensemble whose deaths drive the half-life narrative
Don Denny,Ubik,,One of the anti-psi team who experiences half-life deterioration,Member of Runciter Associates caught between life and half-life,Experiences the entropy and regression that defines the half-life world
Wendy Wright,Ubik,Wright = maker/craftsman,An inertial whose name suggests crafted perfection,Anti-psi whose body deteriorates and mummifies as half-life entropy accelerates,Her physical decay embodies the novel's theme of irreversible cosmic entropy
Ray Hollis,Ubik,,Antagonist who employs psi agents against Runciter Associates,Head of a rival organization who uses psychics for corporate espionage,Represents the weaponization of parapsychological abilities
Herbert Schoenheit von Vogelsang,Ubik,Schoenheit = beauty; Vogelsang = birdsong,Beautiful birdsong — ironic name for a mortuary operator,Manager of the Beloved Brethren Moratorium where half-lifers are stored,His florid name contrasts with his grim custodianship of the dead
Jason Taverner,Flow My Tears the Policeman Said,Taverner = innkeeper / host,A host whose world no longer hosts him — erased from all records,Famous TV entertainer who wakes up in a world where no one knows he exists,Celebrity and identity as social constructs — without records you cease to exist
Felix Buckman,Flow My Tears the Policeman Said,Felix = happy/fortunate; Buckman = man of the buck/deer,Happy man who is deeply unhappy; police general who weeps,Police general of the totalitarian regime who undergoes an epiphany of compassion,The tears of the policeman — even an authoritarian functionary can experience agape
Alys Buckman,Flow My Tears the Policeman Said,Alys = noble; variant of Alice,Through the looking-glass — her drug use opens doors between realities,Felix's sister and incestuous lover whose experimental drug use causes Taverner's reality shift,Transgression and pharmacological reality-alteration as PKD's recurring themes
Kathy Nelson,Flow My Tears the Policeman Said,,Pottery forger who helps Taverner obtain false identity papers,Potter and document forger who becomes Taverner's ally in his erased existence,The artisan as counterfeiter — authenticity and forgery as parallel acts of creation
Ruth Rae,Flow My Tears the Policeman Said,Ruth = companion; Rae = ray of light,A companion who offers a ray of hope then betrays,Record store owner who takes in Taverner then informs on him,Betrayal as survival mechanism under totalitarianism
Mary Anne Dominic,Flow My Tears the Policeman Said,Dominic = of the Lord,A name suggesting divine order in a disordered world,Ceramics student and lover of Taverner who tries to help him,Her ordinary decency contrasts with the regime's institutional cruelty
Bob Arctor,A Scanner Darkly,Arctor = actor; arc of descent,He is literally acting — undercover as himself,Undercover narcotics agent who becomes addicted to Substance D while surveilling himself,The split self — surveillance destroys the distinction between observer and observed
Donna Hawthorne,A Scanner Darkly,Hawthorne = Nathaniel Hawthorne (sin and concealment),She conceals her true role as a federal agent throughout,Drug dealer and Arctor's love interest who is secretly a federal agent manipulating him,Love as betrayal — the woman who delivers him to the rehabilitation-as-punishment system
James Barris,A Scanner Darkly,Barris = barrier / obstruction,He is a barrier to truth — a paranoid manipulator and informant,Arctor's housemate who manufactures weapons and secretly informs on him,Paranoia as social poison — everyone is informing on everyone
Ernie Luckman,A Scanner Darkly,Luckman = lucky man (ironic),The lucky man in an unlucky world — he escapes the worst fate,Arctor's affable housemate and fellow Substance D user,The good-natured friend who cannot save anyone from systemic destruction
Charles Freck,A Scanner Darkly,Freck = freckle / spotted,A spotted man — marked and visible in a surveillance state,Perpetually anxious drug user in Arctor's circle who attempts suicide,Anxiety and self-destruction as responses to living under total surveillance
Mike Westaway,A Scanner Darkly,,Federal agent who runs Donna as a handler,Donna's handler in the federal narcotics operation,The invisible hand of state control behind personal relationships
Horselover Fat,VALIS,Horse-lover = Philip (Greek philos + hippos); Fat = Dick (German),Philip K. Dick's name literally translated — the author as character,PKD's alter ego and the mentally ill visionary protagonist who experiences divine revelation,The author splits himself in two to examine his own 2-3-74 theophany
Angel Archer,The Transmigration of Timothy Archer,Angel = divine messenger; Archer = one who aims,A messenger aiming at truth; also recalls the archer-god Apollo,Narrator and daughter-in-law of Bishop Archer who is the novel's rational center,The witness-narrator who survives while the seekers around her self-destruct
Timothy Archer,The Transmigration of Timothy Archer,Timothy = honoring God; Archer = seeker-aimer,Aims at God but overshoots into death,Episcopal bishop based on James Pike who pursues ancient documents to Israel and dies,The religious seeker whose sincerity leads to destruction — faith as fatal quest
Jeff Archer,The Transmigration of Timothy Archer,,Bishop Archer's son and Angel's husband who kills himself,Son of the bishop who commits suicide partly from guilt and theological despair,The collateral damage of obsessive spiritual seeking
Kirsten Lundborg,The Transmigration of Timothy Archer,Lundborg = castle on the grove,A stronghold that crumbles — she too commits suicide,Bishop Archer's mistress and theological sparring partner who kills herself,Another casualty of the search for ultimate meaning
Bill Lundborg,The Transmigration of Timothy Archer,,Kirsten's schizophrenic son who may channel the dead bishop,Young man who appears to transmigrate with Timothy Archer's consciousness,The vessel of transmigration — PKD's exploration of metempsychosis
Edgar Barefoot,The Transmigration of Timothy Archer,Barefoot = unshod / humble / countercultural,A guru who walks barefoot through affluent Berkeley,Charismatic spiritual teacher and radio personality modeled on Alan Watts,The commodification of Eastern spirituality in 1960s-70s California
Tagomi (Nobusuke),The Man in the High Castle,Japanese name suggesting honor,A man of tags and labels — categorizing reality,Senior Japanese trade official in San Francisco who has a moral crisis after killing Germans,His meditation on a piece of jewelry pierces the veil between alternate worlds
Juliana Frink,The Man in the High Castle,Juliana = youthful; Frink = free/frank,Frank and free — she acts on instinct and truth,Frank Frink's ex-wife who discovers The Grasshopper Lies Heavy and confronts its author,The intuitive seeker who reaches the truth that their reality is false
Frank Frink,The Man in the High Castle,Frink = free; born Fink (informer),From Fink to Frink — renaming to escape Jewish persecution,Jewish-American artisan hiding his identity in Japanese-occupied San Francisco,Authentic craft versus mass production — creating real art under totalitarianism
Robert Childan,The Man in the High Castle,Childan = child-like / naive,Childish in his cultural cringe toward the Japanese,American antiques dealer who sells both genuine and forged pre-war artifacts,Cultural submission and the yearning for authenticity in a colonized America
Hawthorne Abendsen,The Man in the High Castle,Hawthorne = sin-obsessed author; Abend = evening (German),The author in the evening — twilight of alternative history,Author of The Grasshopper Lies Heavy who lives in fear of assassination,The writer within the writer's fiction who has written the truth
Rudolf Wegener,The Man in the High Castle,Wegener = wayfarer / path-maker,A path-maker plotting to prevent nuclear war,German intelligence officer plotting against the Nazi nuclear strike plan,The moral German — resistance within the machinery of evil
Baynes (Mr.),The Man in the High Castle,Baynes = bones / the essential,Stripped to the bone — his cover identity is skeletal,Cover identity of Wegener as a Swedish businessman in San Francisco,Identity as disguise — every character performs a false self
Leo Bulero,The Three Stigmata of Palmer Eldritch,Bulero = bull; Leo = lion,Lion-bull — powerful beast of commerce,Head of Perky Pat Layouts Inc. who battles Palmer Eldritch's competing drug Chew-Z,Corporate titan versus cosmic invader — capitalism against alien gnosis
Palmer Eldritch,The Three Stigmata of Palmer Eldritch,Palmer = pilgrim; Eldritch = eerie/supernatural,The eerie pilgrim — a holy traveler who returns as something alien,Industrialist who returns from Proxima Centauri transformed into an alien-possessed entity,The three stigmata (artificial eyes steel teeth prosthetic hand) parody Christ's wounds
Barney Mayerson,The Three Stigmata of Palmer Eldritch,Mayerson = son of the mayor; Barney = son of consolation,Son of authority who loses all authority over reality,Pre-Fash precog consultant who is drafted to Mars and must choose between Can-D and Chew-Z,The everyman forced to choose between competing simulated realities
Anne Hawthorne,The Three Stigmata of Palmer Eldritch,Hawthorne = sin and moral complexity,Moral gravity amid hallucinatory chaos,Ceramicist on Mars who resists Chew-Z and maintains her Christian faith,Faith as anchor when all reality becomes negotiable
Richard Hnatt,The Three Stigmata of Palmer Eldritch,Hnatt = gnat (insect),A small buzzing irritant in the cosmic scheme,Barney's replacement lover who makes miniatures for Perky Pat layouts,The small-scale artisan in a universe of incomprehensible forces
Emily Hnatt,The Three Stigmata of Palmer Eldritch,,Barney's ex-wife who remarries Hnatt,Barney Mayerson's former wife whose departure triggers his spiritual crisis,Personal loss as gateway to metaphysical questioning
Ragle Gumm,Time Out of Joint,"Gumm = sticky, adhering",Stuck in a manufactured reality — gummed up,Contest winner in 1950s suburbia who discovers his life is a military simulation,The man whose comfortable reality is entirely fabricated — PKD's paranoid premise
Vic Nielson,Time Out of Joint,,Ragle's brother-in-law and unwitting participant in the simulation,Ordinary family man who cannot see that his entire town is a construct,The person who accepts consensus reality without question
Margo Nielson,Time Out of Joint,,Ragle's sister who lives in the simulated town,Ragle's sister whose domestic life is part of the military apparatus,Domesticity as camouflage for state control
Bill Black,Time Out of Joint,Black = dark / hidden,His name signals concealment — he is an agent within the simulation,Ragle's friend who is secretly a military handler maintaining the illusion,The spy next door — friendship as surveillance
Jack Bohlen,Martian Time-Slip,Bohlen = plank / beam; Jack = everyman,A beam of support — the solid everyman on Mars,Repairman on Mars who becomes entangled with a schizophrenic boy's time-warping perception,The working man trying to stay sane amid capitalist exploitation and temporal collapse
Manfred Steiner,Martian Time-Slip,Manfred = man of peace; Steiner = stone,"Peaceful stone — autistic and immovable, he sees the future",Autistic boy whose perception of time reveals the entropic future of all things,Schizophrenia and autism as privileged perception of reality's true nature
Arnie Kott,Martian Time-Slip,Kott = mud/filth (German),A man of the mud — corrupt and earthbound,Corrupt union boss on Mars who tries to exploit Manfred's temporal abilities,Power and greed attempting to harness visionary consciousness for profit
Doreen Anderton,Martian Time-Slip,,Arnie Kott's mistress who becomes involved with Jack Bohlen,Woman caught between the corrupt boss and the decent repairman,The woman as contested territory between male power structures
Silvia Bohlen,Martian Time-Slip,,Jack's wife who has an affair with Arnie Kott,Jack Bohlen's dissatisfied wife on the Martian frontier,Suburban discontent transplanted to an alien world
